site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
US-PFa,Park Falls/WLEF,USA,-90.2723,45.9459,470.00,MF,823,4.33,1995-2014,1995-2014,http://sites.fluxdata.org/US-PFa/
US-Prr,Poker Flat Research Range Black Spruce Forest,USA,-147.48756,65.12367,210,ENF,275,-2,2010-2013,2010-2014,http://sites.fluxdata.org/US-Prr/
US-SRC,Santa Rita Creosote,USA,-110.8395,31.9083,950,MF,330,22,"",2008-2014,http://sites.fluxdata.org/US-SRC/
US-SRG,Santa Rita Grassland,USA,-110.827675,31.789379,1291,GRA,420,17,2008-2014,2008-2014,http://sites.fluxdata.org/US-SRG/
US-SRM,Santa Rita Mesquite,USA,-110.8661,31.8214,1120,WSA,380,17.92,2004-2014,2004-2014,http://sites.fluxdata.org/US-SRM/
US-Sta,Saratoga,USA,-106.8024,41.3966,2069,OSH,"",5.1,"",2005-2009,http://sites.fluxdata.org/US-Sta/
US-Syv,Sylvania Wilderness Area,USA,-89.3477,46.2420,540.00,MF,826,3.81,2001-2014,2001-2014,http://sites.fluxdata.org/US-Syv/
US-Ton,Tonzi Ranch,USA,-120.96598,38.4316,177,WSA,559,15.8,2001-2014,2001-2014,http://sites.fluxdata.org/US-Ton/
US-Tw1,Twitchell Wetland West Pond,USA,-121.6469,38.1074,-9,WET,421,15.5,2012-2014,2012-2014,http://sites.fluxdata.org/US-Tw1/
US-Tw2,Twitchell Corn,USA,-121.6433,38.1047,-5,CRO,421,15.5,2012-2013,2012-2013,http://sites.fluxdata.org/US-Tw2/
US-Tw3,Twitchell Alfalfa,USA,-121.6467,38.1159,-9,CRO,421,15.6,2013-2014,2013-2014,http://sites.fluxdata.org/US-Tw3/
US-Tw4,Twitchell East End Wetland,USA,-121.6414,38.10298,-5,WET,421,15.6,2013-2014,2013-2014,http://sites.fluxdata.org/US-Tw4/
US-Twt,Twitchell Island,USA,-121.65310,38.1087204,-7,CRO,421,15.6,2009-2014,2009-2014,http://sites.fluxdata.org/US-Twt/
US-UMB,Univ. of Mich. Biological Station,USA,-84.7138,45.5598,234,DBF,803,5.83,2000-2014,2000-2014,http://sites.fluxdata.org/US-UMB/
US-UMd,UMBS Disturbance,USA,-84.6975,45.5625,239,DBF,803,5.83,2007-2014,2007-2014,http://sites.fluxdata.org/US-UMd/
US-Var,Vaira Ranch- Ione,USA,-120.9507,38.4133,129,GRA,559,15.8,2000-2014,2000-2014,http://sites.fluxdata.org/US-Var/
US-WCr,Willow Creek,USA,-90.0799,45.8059,520.00,DBF,787,4.02,1999-2014,1999-2014,http://sites.fluxdata.org/US-WCr/
